time,value
00:00,4087.160
00:05,4047.440
00:10,4043.600
00:15,4016.970
00:20,4015.280
00:25,3992.770
00:30,3979.960
00:35,3969.270
00:40,3955.550
00:45,3934.930
00:50,3900.720
00:55,3881.790
01:00,3867.640
01:05,3857.260
01:10,3842.980
01:15,3828.020
01:20,3812.290
01:25,3801.220
01:30,3779.980
01:35,3768.530
01:40,3745.320
01:45,3740.950
01:50,3727.460
01:55,3694.100
02:00,3684.120
02:05,3664.520
02:10,3649.140
02:15,3631.130
02:20,3624.730
02:25,3594.470
02:30,3591.750
02:35,3586.030
02:40,3568.750
02:45,3551.280
02:50,3532.450
02:55,3532.870
03:00,3516.670
03:05,3499.390
03:10,3485.820
03:15,3474.900
03:20,3466.570
03:25,3459.470
03:30,3443.070
03:35,3425.770
03:40,3416.620
03:45,3399.850
03:50,3392.340
03:55,3383.830
04:00,3379.270
04:05,3370.590
04:10,3349.780
04:15,3323.510
04:20,3315.940
04:25,3299.310
04:30,3298.920
04:35,3283.570
04:40,3279.920
04:45,3258.840
04:50,3241.550
04:55,3239.360
05:00,3241.090
05:05,3223.710
05:10,3214.670
05:15,3212.190
05:20,3205.520
05:25,3192.100
05:30,3182.310
05:35,3177.120
05:40,3169.220
05:45,3151.770
05:50,3166.760
05:55,3161.850
06:00,3137.560
06:05,3146.100
06:10,3125.730
06:15,3081.260
06:20,3088.680
06:25,3091.530
06:30,3084.420
06:35,3089.700
06:40,3100.450
06:45,3078.140
06:50,3086.390
06:55,3095.620
07:00,3090.280
07:05,3084.440
07:10,3066.120
07:15,3063.790
07:20,3074.010
07:25,3054.720
07:30,3033.540
07:35,3042.050
07:40,3024.880
07:45,3034.690
07:50,3036.010
07:55,3013.880
08:00,3023.100
08:05,3008.660
08:10,2990.470
08:15,3000.210
08:20,3004.000
08:25,2999.500
08:30,2981.780
08:35,3014.800
08:40,3000.280
08:45,2982.970
08:50,2968.750
08:55,2976.670
09:00,2963.570
09:05,2940.360
09:10,2946.610
09:15,2958.220
09:20,2953.740
09:25,2951.020
09:30,2960.580
09:35,2962.780
09:40,2981.080
09:45,3008.220
09:50,2998.640
09:55,2992.550
10:00,3029.110
10:05,3052.880
10:10,3052.580
10:15,3067.000
10:20,3058.830
10:25,3074.700
10:30,3086.450
10:35,3089.550
10:40,3087.880
10:45,3106.900
10:50,3099.400
10:55,3115.250
11:00,3104.540
11:05,3131.350
11:10,3114.040
11:15,3131.800
11:20,3126.360
11:25,3121.380
11:30,3108.320
11:35,3147.200
11:40,3125.640
11:45,3177.450
11:50,3148.310
11:55,3153.580
12:00,3162.420
12:05,3172.200
12:10,3178.860
12:15,3178.850
12:20,3170.540
12:25,3139.070
12:30,3155.050
12:35,3135.690
12:40,3163.230
12:45,3144.450
12:50,3171.350
12:55,3145.610
13:00,3118.910
13:05,3091.760
13:10,3113.280
13:15,3110.720
13:20,3112.630
13:25,3113.780
13:30,3119.770
13:35,3110.090
13:40,3118.360
13:45,3112.850
13:50,3139.010
13:55,3141.310
14:00,3138.740
14:05,3154.310
14:10,3162.150
14:15,3179.300
14:20,3195.140
14:25,3177.330
14:30,3177.520
14:35,3192.590
14:40,3212.110
14:45,3210.370
14:50,3210.220
14:55,3189.390
15:00,3205.120
15:05,3207.680
15:10,3230.070
15:15,3212.930
15:20,3241.800
15:25,3223.690
15:30,3242.960
15:35,3238.720
15:40,3197.600
15:45,3233.150
15:50,3202.490
15:55,3193.720
16:00,3223.120
16:05,3230.270
16:10,3251.760
16:15,3229.470
16:20,3201.120
16:25,3213.500
16:30,3212.600
16:35,3205.120
16:40,3202.760
16:45,3190.170
16:50,3205.100
16:55,3189.100
17:00,3184.850
17:05,3166.780
17:10,3175.110
17:15,3184.800
17:20,3177.380
17:25,3195.740
17:30,3159.540
17:35,3188.580
17:40,3198.450
17:45,3180.150
17:50,3215.610
17:55,3220.100
18:00,3241.740
18:05,3265.990
18:10,3296.810
18:15,3286.820
18:20,3334.080
18:25,3411.250
18:30,3418.270
18:35,3447.380
18:40,3462.720
18:45,3501.640
18:50,3501.940
18:55,3519.800
19:00,3520.190
19:05,3529.180
19:10,3540.490
19:15,3555.670
19:20,3551.120
19:25,3562.580
19:30,3588.480
19:35,3585.760
19:40,3591.640
19:45,3584.380
19:50,3579.200
19:55,3604.600
20:00,3595.180
20:05,3601.990
20:10,3601.860
20:15,3614.590
20:20,3599.620
20:25,3633.030
20:30,3618.690
20:35,3609.100
20:40,3624.220
20:45,3632.690
20:50,3658.410
20:55,3685.070
21:00,3684.400
21:05,3669.560
21:10,3695.180
21:15,3692.600
21:20,3737.290
21:25,3746.530
21:30,3772.490
21:35,3794.190
21:40,3800.950
21:45,3823.750
21:50,3826.680
21:55,3870.820
22:00,3879.010
22:05,3873.840
22:10,3871.130
22:15,3895.730
22:20,3920.340
22:25,3947.940
22:30,3954.970
22:35,3962.110
22:40,3977.570
22:45,3992.480
22:50,4000.690
22:55,4024.110
23:00,4041.050
23:05,4041.490
23:10,4037.590
23:15,4023.530
23:20,4029.020
23:25,4021.690
23:30,4030.040
23:35,4017.440
23:40,4020.070
23:45,3997.100
23:50,3991.840
23:55,3972.480
