time,value
00:00,2605.950
00:05,2578.150
00:10,2565.290
00:15,2544.730
00:20,2544.230
00:25,2522.700
00:30,2507.290
00:35,2487.170
00:40,2483.250
00:45,2484.060
00:50,2471.540
00:55,2452.700
01:00,2452.120
01:05,2427.990
01:10,2415.020
01:15,2414.070
01:20,2403.040
01:25,2399.770
01:30,2392.900
01:35,2381.740
01:40,2363.520
01:45,2358.230
01:50,2351.240
01:55,2333.940
02:00,2326.980
02:05,2319.110
02:10,2309.540
02:15,2305.820
02:20,2296.820
02:25,2294.030
02:30,2288.690
02:35,2282.820
02:40,2288.880
02:45,2271.430
02:50,2266.200
02:55,2253.870
03:00,2245.050
03:05,2247.560
03:10,2232.920
03:15,2229.880
03:20,2230.840
03:25,2230.110
03:30,2229.000
03:35,2225.670
03:40,2215.040
03:45,2213.660
03:50,2206.420
03:55,2208.730
04:00,2210.390
04:05,2218.450
04:10,2207.750
04:15,2216.720
04:20,2218.060
04:25,2202.700
04:30,2203.190
04:35,2219.950
04:40,2232.510
04:45,2241.310
04:50,2247.360
04:55,2245.790
05:00,2250.640
05:05,2268.980
05:10,2287.750
05:15,2299.450
05:20,2318.280
05:25,2335.430
05:30,2342.810
05:35,2377.090
05:40,2389.450
05:45,2419.420
05:50,2429.840
05:55,2465.400
06:00,2468.930
06:05,2499.080
06:10,2520.660
06:15,2550.450
06:20,2589.080
06:25,2617.170
06:30,2647.940
06:35,2696.790
06:40,2708.880
06:45,2715.100
06:50,2739.420
06:55,2760.000
07:00,2740.510
07:05,2766.540
07:10,2785.850
07:15,2780.470
07:20,2788.260
07:25,2804.110
07:30,2786.360
07:35,2773.160
07:40,2768.510
07:45,2779.100
07:50,2806.380
07:55,2802.230
08:00,2804.970
08:05,2815.380
08:10,2804.110
08:15,2811.530
08:20,2821.770
08:25,2850.760
08:30,2875.170
08:35,2874.570
08:40,2873.280
08:45,2887.450
08:50,2870.710
08:55,2879.320
09:00,2869.050
09:05,2915.870
09:10,2940.870
09:15,3015.980
09:20,3038.960
09:25,3064.940
09:30,3089.770
09:35,3129.340
09:40,3150.670
09:45,3182.260
09:50,3202.310
09:55,3244.510
10:00,3282.380
10:05,3257.760
10:10,3273.330
10:15,3296.260
10:20,3298.370
10:25,3305.080
10:30,3299.220
10:35,3347.260
10:40,3319.380
10:45,3315.820
10:50,3303.970
10:55,3307.870
11:00,3327.700
11:05,3350.020
11:10,3355.200
11:15,3374.180
11:20,3377.130
11:25,3364.860
11:30,3366.310
11:35,3344.760
11:40,3354.580
11:45,3363.140
11:50,3357.400
11:55,3374.770
12:00,3359.330
12:05,3381.010
12:10,3357.980
12:15,3336.670
12:20,3347.560
12:25,3344.230
12:30,3360.500
12:35,3318.340
12:40,3333.520
12:45,3256.780
12:50,3249.740
12:55,3262.650
13:00,3226.680
13:05,3108.270
13:10,3083.100
13:15,3081.370
13:20,3077.230
13:25,3093.630
13:30,3067.230
13:35,3091.530
13:40,3140.690
13:45,3152.410
13:50,3134.590
13:55,3139.040
14:00,3145.830
14:05,3160.490
14:10,3171.360
14:15,3178.960
14:20,3175.560
14:25,3202.420
14:30,3186.690
14:35,3202.210
14:40,3198.200
14:45,3199.460
14:50,3190.450
14:55,3196.900
15:00,3170.150
15:05,3187.870
15:10,3164.370
15:15,3163.730
15:20,3141.900
15:25,3220.070
15:30,3201.770
15:35,3142.540
15:40,3162.500
15:45,3134.290
15:50,3175.520
15:55,3159.900
16:00,3140.960
16:05,3146.080
16:10,3152.860
16:15,3153.210
16:20,3165.110
16:25,3157.950
16:30,3144.530
16:35,3124.770
16:40,3135.480
16:45,3168.710
16:50,3150.880
16:55,3170.770
17:00,3177.910
17:05,3197.190
17:10,3209.860
17:15,3228.970
17:20,3262.840
17:25,3262.840
17:30,3261.760
17:35,3306.010
17:40,3324.220
17:45,3377.070
17:50,3384.320
17:55,3430.160
18:00,3456.770
18:05,3493.240
18:10,3495.990
18:15,3478.490
18:20,3490.190
18:25,3519.840
18:30,3507.860
18:35,3512.610
18:40,3508.190
18:45,3480.530
18:50,3465.420
18:55,3491.320
19:00,3481.310
19:05,3448.120
19:10,3424.100
19:15,3409.600
19:20,3408.930
19:25,3381.270
19:30,3391.840
19:35,3362.530
19:40,3348.760
19:45,3331.750
19:50,3357.010
19:55,3287.380
20:00,3278.250
20:05,3235.350
20:10,3248.560
20:15,3182.770
20:20,3176.200
20:25,3167.580
20:30,3151.760
20:35,3119.960
20:40,3100.250
20:45,3068.750
20:50,3050.780
20:55,3021.830
21:00,3013.060
21:05,2942.950
21:10,2956.960
21:15,2917.240
21:20,2917.930
21:25,2905.050
21:30,2904.880
21:35,2877.890
21:40,2858.890
21:45,2840.560
21:50,2839.830
21:55,2845.790
22:00,2819.180
22:05,2759.280
22:10,2757.830
22:15,2759.280
22:20,2752.510
22:25,2730.220
22:30,2729.250
22:35,2718.550
22:40,2694.620
22:45,2673.110
22:50,2670.150
22:55,2657.820
23:00,2683.670
23:05,2621.500
23:10,2613.620
23:15,2609.120
23:20,2591.200
23:25,2570.950
23:30,2562.600
23:35,2539.210
23:40,2531.740
23:45,2520.410
23:50,2502.710
23:55,2497.080
