time,value
00:00,1834.540
00:05,1806.920
00:10,1791.820
00:15,1775.560
00:20,1753.970
00:25,1734.140
00:30,1711.200
00:35,1696.880
00:40,1692.130
00:45,1674.080
00:50,1660.240
00:55,1654.260
01:00,1626.370
01:05,1617.410
01:10,1591.250
01:15,1588.660
01:20,1589.080
01:25,1579.470
01:30,1567.020
01:35,1564.950
01:40,1551.910
01:45,1545.860
01:50,1533.260
01:55,1527.560
02:00,1531.030
02:05,1519.360
02:10,1515.990
02:15,1513.520
02:20,1505.420
02:25,1505.440
02:30,1503.360
02:35,1500.550
02:40,1482.500
02:45,1481.790
02:50,1486.160
02:55,1481.860
03:00,1480.140
03:05,1483.010
03:10,1468.270
03:15,1471.180
03:20,1469.590
03:25,1473.210
03:30,1473.920
03:35,1478.610
03:40,1474.350
03:45,1471.790
03:50,1478.180
03:55,1479.410
04:00,1485.100
04:05,1507.830
04:10,1512.880
04:15,1526.990
04:20,1537.150
04:25,1532.880
04:30,1541.650
04:35,1566.160
04:40,1568.810
04:45,1577.680
04:50,1603.280
04:55,1625.220
05:00,1650.120
05:05,1694.210
05:10,1733.040
05:15,1765.620
05:20,1816.440
05:25,1868.420
05:30,1894.920
05:35,1951.530
05:40,2029.690
05:45,2081.220
05:50,2127.880
05:55,2181.330
06:00,2254.970
06:05,2353.340
06:10,2438.580
06:15,2503.530
06:20,2576.070
06:25,2652.570
06:30,2697.640
06:35,2774.420
06:40,2847.480
06:45,2895.230
06:50,2934.500
06:55,3001.110
07:00,3047.290
07:05,3100.340
07:10,3153.720
07:15,3218.950
07:20,3254.680
07:25,3274.920
07:30,3343.120
07:35,3379.510
07:40,3420.710
07:45,3437.300
07:50,3466.680
07:55,3509.690
08:00,3489.820
08:05,3517.900
08:10,3546.650
08:15,3569.560
08:20,3589.390
08:25,3636.100
08:30,3670.660
08:35,3648.650
08:40,3673.800
08:45,3691.350
08:50,3702.910
08:55,3666.450
09:00,3673.960
09:05,3707.020
09:10,3704.750
09:15,3777.910
09:20,3762.160
09:25,3797.230
09:30,3865.270
09:35,3923.810
09:40,3928.190
09:45,3967.300
09:50,3937.930
09:55,3960.980
10:00,3973.280
10:05,3938.650
10:10,3931.920
10:15,3970.080
10:20,3953.990
10:25,3944.520
10:30,3966.010
10:35,3956.640
10:40,3910.200
10:45,3922.510
10:50,3929.090
10:55,3907.480
11:00,3910.330
11:05,3881.170
11:10,3836.740
11:15,3834.090
11:20,3841.530
11:25,3822.680
11:30,3817.540
11:35,3765.190
11:40,3763.900
11:45,3736.010
11:50,3732.260
11:55,3675.020
12:00,3714.520
12:05,3687.180
12:10,3646.410
12:15,3611.740
12:20,3616.290
12:25,3557.490
12:30,3589.920
12:35,3557.430
12:40,3555.480
12:45,3521.340
12:50,3481.720
12:55,3420.990
13:00,3328.190
13:05,3237.380
13:10,3213.380
13:15,3139.760
13:20,3086.460
13:25,3106.520
13:30,3065.880
13:35,3063.820
13:40,3100.300
13:45,3070.430
13:50,3074.250
13:55,3052.170
14:00,3053.770
14:05,3069.310
14:10,3050.850
14:15,3028.970
14:20,3073.250
14:25,3040.470
14:30,3053.580
14:35,3063.890
14:40,2997.010
14:45,3017.760
14:50,3011.590
14:55,3015.480
15:00,2963.810
15:05,2959.220
15:10,2998.410
15:15,2981.250
15:20,2994.280
15:25,2980.100
15:30,2951.630
15:35,2947.550
15:40,2930.640
15:45,2958.410
15:50,2952.320
15:55,2924.810
16:00,2930.820
16:05,2931.300
16:10,2922.960
16:15,2954.000
16:20,2954.590
16:25,2975.590
16:30,2941.760
16:35,2988.540
16:40,2971.160
16:45,3001.800
16:50,2979.190
16:55,3003.620
17:00,2979.020
17:05,3046.380
17:10,3029.550
17:15,3116.870
17:20,3115.170
17:25,3135.900
17:30,3154.240
17:35,3170.480
17:40,3232.950
17:45,3270.710
17:50,3305.830
17:55,3329.400
18:00,3357.080
18:05,3359.910
18:10,3362.850
18:15,3385.170
18:20,3402.740
18:25,3390.380
18:30,3367.970
18:35,3380.990
18:40,3416.060
18:45,3384.660
18:50,3332.000
18:55,3351.940
19:00,3320.800
19:05,3148.340
19:10,3307.470
19:15,3302.020
19:20,3292.250
19:25,3292.220
19:30,3272.850
19:35,3252.740
19:40,3221.080
19:45,3200.190
19:50,3179.050
19:55,3160.890
20:00,3150.840
20:05,3110.710
20:10,3082.370
20:15,3077.240
20:20,3106.900
20:25,3019.220
20:30,2984.660
20:35,2985.300
20:40,2963.470
20:45,2949.950
20:50,2933.710
20:55,2856.970
21:00,2807.840
21:05,2750.180
21:10,2737.620
21:15,2720.190
21:20,2660.940
21:25,2663.780
21:30,2658.930
21:35,2628.290
21:40,2594.230
21:45,2602.150
21:50,2565.100
21:55,2588.610
22:00,2540.150
22:05,2520.350
22:10,2467.480
22:15,2461.950
22:20,2442.320
22:25,2393.690
22:30,2374.190
22:35,2354.650
22:40,2315.810
22:45,2296.470
22:50,2269.130
22:55,2218.340
23:00,2199.870
23:05,2168.330
23:10,2122.510
23:15,2101.260
23:20,2092.120
23:25,2061.350
23:30,2019.190
23:35,1986.160
23:40,1963.790
23:45,1930.880
23:50,1901.310
23:55,1883.390
