time,value
00:00,1801.450
00:05,1777.140
00:10,1734.420
00:15,1731.030
00:20,1694.910
00:25,1671.420
00:30,1658.230
00:35,1648.110
00:40,1632.590
00:45,1630.210
00:50,1610.040
00:55,1592.630
01:00,1580.580
01:05,1562.940
01:10,1549.010
01:15,1527.990
01:20,1513.470
01:25,1511.210
01:30,1499.140
01:35,1487.550
01:40,1490.000
01:45,1472.450
01:50,1466.940
01:55,1463.970
02:00,1457.030
02:05,1452.920
02:10,1446.370
02:15,1442.370
02:20,1432.180
02:25,1429.430
02:30,1425.310
02:35,1422.280
02:40,1421.960
02:45,1415.190
02:50,1427.310
02:55,1426.630
03:00,1424.990
03:05,1425.820
03:10,1417.210
03:15,1418.110
03:20,1422.900
03:25,1407.220
03:30,1413.520
03:35,1391.890
03:40,1415.640
03:45,1425.100
03:50,1413.610
03:55,1401.760
04:00,1407.020
04:05,1418.390
04:10,1430.620
04:15,1434.270
04:20,1437.270
04:25,1448.170
04:30,1459.290
04:35,1463.170
04:40,1465.950
04:45,1480.950
04:50,1496.950
04:55,1510.760
05:00,1522.690
05:05,1556.880
05:10,1578.020
05:15,1603.160
05:20,1620.070
05:25,1638.680
05:30,1656.100
05:35,1684.440
05:40,1699.940
05:45,1749.350
05:50,1786.590
05:55,1812.020
06:00,1836.230
06:05,1910.010
06:10,1927.130
06:15,1979.500
06:20,2031.440
06:25,2056.780
06:30,2094.220
06:35,2141.310
06:40,2156.460
06:45,2185.850
06:50,2258.610
06:55,2269.860
07:00,2324.800
07:05,2357.390
07:10,2417.490
07:15,2490.870
07:20,2540.940
07:25,2610.910
07:30,2666.370
07:35,2716.360
07:40,2793.960
07:45,2826.370
07:50,2846.040
07:55,2928.500
08:00,2947.290
08:05,2973.460
08:10,3010.610
08:15,3033.830
08:20,3067.290
08:25,3058.700
08:30,3095.980
08:35,3176.880
08:40,3213.140
08:45,3192.060
08:50,3289.290
08:55,3291.770
09:00,3298.390
09:05,3332.120
09:10,3351.460
09:15,3381.160
09:20,3425.590
09:25,3454.800
09:30,3470.820
09:35,3385.910
09:40,3565.420
09:45,3607.870
09:50,3607.590
09:55,3632.150
10:00,3650.410
10:05,3636.880
10:10,3656.210
10:15,3671.480
10:20,3717.070
10:25,3686.970
10:30,3692.120
10:35,3698.750
10:40,3668.800
10:45,3711.170
10:50,3691.610
10:55,3705.680
11:00,3673.120
11:05,3651.330
11:10,3639.180
11:15,3636.180
11:20,3628.090
11:25,3609.290
11:30,3606.530
11:35,3587.480
11:40,3602.890
11:45,3567.910
11:50,3550.840
11:55,3537.140
12:00,3544.050
12:05,3498.650
12:10,3459.380
12:15,3437.340
12:20,3439.110
12:25,3402.350
12:30,3407.520
12:35,3384.520
12:40,3349.000
12:45,3322.400
12:50,3289.410
12:55,3271.810
13:00,3191.420
13:05,3119.680
13:10,3047.680
13:15,3013.400
13:20,3005.010
13:25,2972.170
13:30,2950.170
13:35,2928.020
13:40,2938.610
13:45,2954.440
13:50,2956.840
13:55,2896.090
14:00,2886.580
14:05,2886.050
14:10,2879.540
14:15,2875.010
14:20,2844.140
14:25,2821.450
14:30,2795.630
14:35,2761.050
14:40,2761.600
14:45,2748.790
14:50,2712.380
14:55,2700.210
15:00,2708.980
15:05,2683.070
15:10,2692.790
15:15,2673.220
15:20,2655.460
15:25,2639.610
15:30,2623.120
15:35,2618.760
15:40,2583.050
15:45,2566.710
15:50,2591.820
15:55,2574.300
16:00,2564.680
16:05,2564.130
16:10,2592.940
16:15,2600.800
16:20,2571.700
16:25,2590.710
16:30,2592.330
16:35,2589.120
16:40,2587.340
16:45,2615.430
16:50,2613.500
16:55,2622.480
17:00,2651.920
17:05,2661.040
17:10,2682.220
17:15,2726.950
17:20,2721.920
17:25,2778.690
17:30,2760.200
17:35,2803.190
17:40,2837.670
17:45,2864.820
17:50,2929.750
17:55,2974.220
18:00,2978.560
18:05,3029.300
18:10,3001.600
18:15,3016.120
18:20,3039.050
18:25,3038.950
18:30,3043.660
18:35,3019.200
18:40,3033.860
18:45,3044.260
18:50,3026.670
18:55,3036.360
19:00,3016.490
19:05,3005.440
19:10,2986.260
19:15,3000.280
19:20,2998.910
19:25,2974.630
19:30,2942.240
19:35,2932.160
19:40,2936.020
19:45,2920.460
19:50,2906.160
19:55,2875.450
20:00,2862.150
20:05,2817.490
20:10,2779.450
20:15,2799.440
20:20,2790.620
20:25,2775.990
20:30,2757.180
20:35,2723.880
20:40,2713.230
20:45,2666.380
20:50,2683.420
20:55,2642.890
21:00,2636.250
21:05,2590.800
21:10,2545.600
21:15,2544.500
21:20,2530.570
21:25,2513.690
21:30,2488.900
21:35,2483.790
21:40,2495.970
21:45,2445.490
21:50,2435.930
21:55,2428.820
22:00,2407.570
22:05,2364.630
22:10,2368.600
22:15,2323.500
22:20,2314.930
22:25,2294.910
22:30,2268.260
22:35,2241.190
22:40,2224.090
22:45,2212.690
22:50,2199.260
22:55,2176.480
23:00,2114.730
23:05,2088.410
23:10,2087.140
23:15,2077.740
23:20,2056.830
23:25,2006.030
23:30,1979.320
23:35,1972.100
23:40,1947.300
23:45,1929.410
23:50,1906.560
23:55,1894.320
