time,value
00:00,1868.550
00:05,1832.390
00:10,1812.120
00:15,1796.570
00:20,1781.980
00:25,1769.950
00:30,1747.890
00:35,1740.150
00:40,1725.500
00:45,1705.940
00:50,1691.610
00:55,1688.450
01:00,1677.430
01:05,1662.140
01:10,1654.090
01:15,1637.780
01:20,1631.470
01:25,1630.730
01:30,1624.120
01:35,1618.110
01:40,1607.060
01:45,1605.910
01:50,1600.270
01:55,1591.390
02:00,1571.690
02:05,1574.040
02:10,1575.360
02:15,1571.530
02:20,1564.630
02:25,1551.210
02:30,1552.750
02:35,1542.180
02:40,1539.890
02:45,1528.040
02:50,1514.890
02:55,1519.980
03:00,1519.460
03:05,1516.090
03:10,1512.080
03:15,1513.720
03:20,1511.170
03:25,1507.280
03:30,1508.660
03:35,1508.080
03:40,1516.640
03:45,1515.900
03:50,1523.620
03:55,1522.310
04:00,1543.140
04:05,1540.870
04:10,1537.130
04:15,1545.570
04:20,1550.590
04:25,1563.410
04:30,1567.690
04:35,1569.150
04:40,1588.320
04:45,1583.110
04:50,1594.020
04:55,1603.510
05:00,1624.650
05:05,1647.080
05:10,1663.720
05:15,1684.430
05:20,1717.400
05:25,1729.980
05:30,1751.850
05:35,1773.060
05:40,1787.420
05:45,1835.600
05:50,1847.840
05:55,1882.340
06:00,1897.250
06:05,1937.640
06:10,1957.550
06:15,2000.670
06:20,2023.430
06:25,2043.330
06:30,2073.590
06:35,2093.400
06:40,2111.880
06:45,2156.690
06:50,2186.160
06:55,2248.050
07:00,2287.330
07:05,2337.070
07:10,2378.170
07:15,2412.270
07:20,2475.650
07:25,2505.590
07:30,2538.590
07:35,2590.530
07:40,2594.940
07:45,2639.790
07:50,2627.470
07:55,2702.910
08:00,2710.580
08:05,2737.140
08:10,2763.510
08:15,2783.480
08:20,2811.730
08:25,2823.070
08:30,2860.880
08:35,2866.760
08:40,2888.570
08:45,2949.430
08:50,2939.560
08:55,2933.070
09:00,2950.990
09:05,2965.320
09:10,3017.050
09:15,3031.260
09:20,3034.310
09:25,3102.960
09:30,3097.930
09:35,3139.590
09:40,3141.530
09:45,3155.920
09:50,3171.740
09:55,3202.870
10:00,3196.010
10:05,3218.200
10:10,3184.050
10:15,3223.450
10:20,3240.850
10:25,3197.800
10:30,3201.030
10:35,3252.240
10:40,3236.450
10:45,3220.690
10:50,3238.180
10:55,3265.030
11:00,3183.260
11:05,3219.350
11:10,3185.240
11:15,3191.900
11:20,3186.720
11:25,3199.970
11:30,3100.160
11:35,3061.630
11:40,3136.850
11:45,3156.180
11:50,3171.660
11:55,3180.410
12:00,3173.870
12:05,3135.750
12:10,3101.710
12:15,3108.990
12:20,3113.280
12:25,3073.560
12:30,3064.080
12:35,3050.800
12:40,3006.910
12:45,3005.680
12:50,2980.260
12:55,2961.250
13:00,2877.270
13:05,2861.750
13:10,2792.750
13:15,2766.850
13:20,2744.070
13:25,2713.130
13:30,2687.410
13:35,2679.240
13:40,2707.380
13:45,2696.270
13:50,2717.760
13:55,2700.820
14:00,2670.670
14:05,2661.400
14:10,2665.170
14:15,2696.920
14:20,2659.260
14:25,2646.270
14:30,2624.230
14:35,2626.530
14:40,2599.050
14:45,2568.940
14:50,2587.700
14:55,2562.100
15:00,2552.400
15:05,2522.390
15:10,2577.180
15:15,2528.680
15:20,2538.940
15:25,2519.660
15:30,2516.100
15:35,2500.410
15:40,2493.410
15:45,2516.840
15:50,2506.960
15:55,2494.640
16:00,2466.480
16:05,2490.920
16:10,2475.420
16:15,2450.230
16:20,2462.490
16:25,2475.160
16:30,2489.310
16:35,2463.710
16:40,2457.510
16:45,2488.900
16:50,2491.250
16:55,2498.230
17:00,2518.480
17:05,2551.240
17:10,2559.460
17:15,2614.230
17:20,2621.070
17:25,2643.040
17:30,2667.730
17:35,2728.350
17:40,2727.790
17:45,2795.970
17:50,2834.640
17:55,2840.110
18:00,2894.410
18:05,2908.720
18:10,2880.020
18:15,2943.590
18:20,2920.230
18:25,2918.270
18:30,2925.060
18:35,2921.840
18:40,2905.460
18:45,2888.680
18:50,2883.720
18:55,2921.840
19:00,2866.530
19:05,2854.040
19:10,2832.310
19:15,2864.940
19:20,2811.140
19:25,2821.490
19:30,2811.010
19:35,2827.980
19:40,2790.240
19:45,2792.610
19:50,2744.690
19:55,2750.670
20:00,2716.000
20:05,2699.090
20:10,2677.870
20:15,2672.600
20:20,2650.390
20:25,2617.770
20:30,2599.080
20:35,2578.880
20:40,2571.580
20:45,2569.750
20:50,2514.160
20:55,2534.310
21:00,2480.850
21:05,2442.450
21:10,2427.760
21:15,2420.610
21:20,2429.700
21:25,2405.860
21:30,2412.790
21:35,2368.660
21:40,2362.960
21:45,2365.540
21:50,2347.180
21:55,2314.670
22:00,2276.820
22:05,2280.700
22:10,2242.430
22:15,2204.280
22:20,2194.120
22:25,2153.720
22:30,2160.100
22:35,2131.400
22:40,2102.140
22:45,2100.020
22:50,2087.460
22:55,2041.080
23:00,2011.790
23:05,1997.800
23:10,1989.830
23:15,1958.260
23:20,1941.970
23:25,1911.340
23:30,1889.410
23:35,1865.870
23:40,1854.810
23:45,1840.770
23:50,1821.070
23:55,1806.650
