time,value
00:00,2003.330
00:05,1977.200
00:10,1972.560
00:15,1944.920
00:20,1941.460
00:25,1918.190
00:30,1908.090
00:35,1889.190
00:40,1890.080
00:45,1893.930
00:50,1872.100
00:55,1861.150
01:00,1842.520
01:05,1829.800
01:10,1817.860
01:15,1815.170
01:20,1803.670
01:25,1796.780
01:30,1788.000
01:35,1788.180
01:40,1793.280
01:45,1780.550
01:50,1778.100
01:55,1772.700
02:00,1762.240
02:05,1760.580
02:10,1756.110
02:15,1756.270
02:20,1750.090
02:25,1745.750
02:30,1738.690
02:35,1736.600
02:40,1725.840
02:45,1728.240
02:50,1732.910
02:55,1714.450
03:00,1707.250
03:05,1709.060
03:10,1711.080
03:15,1702.570
03:20,1703.320
03:25,1708.760
03:30,1702.830
03:35,1704.860
03:40,1704.490
03:45,1695.960
03:50,1714.090
03:55,1712.690
04:00,1712.510
04:05,1715.140
04:10,1717.790
04:15,1717.220
04:20,1734.320
04:25,1728.560
04:30,1744.500
04:35,1762.570
04:40,1767.970
04:45,1774.750
04:50,1779.260
04:55,1799.520
05:00,1811.380
05:05,1834.780
05:10,1864.390
05:15,1900.490
05:20,1917.140
05:25,1931.160
05:30,1956.510
05:35,2003.370
05:40,2039.380
05:45,2063.020
05:50,2094.660
05:55,2130.110
06:00,2157.830
06:05,2205.650
06:10,2243.790
06:15,2288.040
06:20,2327.680
06:25,2363.820
06:30,2387.500
06:35,2454.820
06:40,2484.890
06:45,2516.660
06:50,2579.110
06:55,2605.210
07:00,2640.360
07:05,2665.590
07:10,2722.730
07:15,2729.060
07:20,2769.500
07:25,2806.500
07:30,2829.580
07:35,2861.570
07:40,2876.640
07:45,2894.730
07:50,2924.100
07:55,2943.490
08:00,2948.060
08:05,3002.490
08:10,2985.410
08:15,3012.160
08:20,3008.390
08:25,3027.150
08:30,3063.170
08:35,3054.140
08:40,3051.620
08:45,3058.100
08:50,3070.880
08:55,3074.640
09:00,3099.150
09:05,3113.140
09:10,3121.450
09:15,3177.640
09:20,3215.670
09:25,3243.820
09:30,3255.420
09:35,3301.000
09:40,3343.020
09:45,3355.030
09:50,3375.650
09:55,3400.480
10:00,3410.830
10:05,3456.770
10:10,3436.430
10:15,3450.240
10:20,3458.970
10:25,3482.570
10:30,3481.390
10:35,3494.390
10:40,3456.400
10:45,3467.730
10:50,3493.030
10:55,3515.210
11:00,3475.600
11:05,3457.910
11:10,3461.020
11:15,3436.370
11:20,3460.510
11:25,3366.990
11:30,3349.090
11:35,3362.680
11:40,3345.870
11:45,3320.190
11:50,3324.830
11:55,3315.320
12:00,3300.360
12:05,3294.270
12:10,3267.320
12:15,3248.380
12:20,3295.920
12:25,3241.920
12:30,3247.810
12:35,3231.220
12:40,3248.380
12:45,3200.880
12:50,3194.560
12:55,3167.370
13:00,3091.890
13:05,3049.480
13:10,2952.760
13:15,2929.360
13:20,2918.910
13:25,2890.090
13:30,2871.460
13:35,2881.630
13:40,2930.880
13:45,2930.890
13:50,2948.960
13:55,3031.390
14:00,3039.830
14:05,3014.760
14:10,3046.360
14:15,3049.770
14:20,3043.780
14:25,3062.550
14:30,3082.910
14:35,3087.260
14:40,3063.980
14:45,3049.750
14:50,3051.620
14:55,3041.360
15:00,3053.500
15:05,3084.490
15:10,3073.510
15:15,3030.700
15:20,3014.860
15:25,3026.560
15:30,3024.160
15:35,3012.340
15:40,3016.420
15:45,3017.330
15:50,3015.290
15:55,3008.170
16:00,3024.540
16:05,3007.980
16:10,3010.990
16:15,3028.860
16:20,3056.230
16:25,3024.430
16:30,3098.890
16:35,3079.600
16:40,3049.340
16:45,3072.810
16:50,3081.180
16:55,3099.940
17:00,3130.130
17:05,3145.090
17:10,3130.760
17:15,3194.400
17:20,3187.000
17:25,3240.440
17:30,3212.410
17:35,3259.160
17:40,3281.710
17:45,3325.900
17:50,3394.750
17:55,3373.530
18:00,3393.270
18:05,3429.050
18:10,3380.970
18:15,3389.910
18:20,3381.340
18:25,3412.190
18:30,3395.170
18:35,3369.880
18:40,3403.790
18:45,3390.730
18:50,3389.230
18:55,3361.510
19:00,3347.890
19:05,3311.440
19:10,3305.980
19:15,3275.600
19:20,3265.550
19:25,3282.160
19:30,3240.400
19:35,3211.460
19:40,3174.780
19:45,3168.580
19:50,3187.400
19:55,3171.400
20:00,3091.120
20:05,3056.540
20:10,3027.260
20:15,3009.850
20:20,2997.500
20:25,2961.720
20:30,2903.830
20:35,2883.290
20:40,2852.680
20:45,2828.750
20:50,2798.510
20:55,2781.650
21:00,2722.560
21:05,2655.920
21:10,2649.930
21:15,2621.510
21:20,2615.920
21:25,2612.200
21:30,2608.950
21:35,2593.230
21:40,2565.270
21:45,2551.940
21:50,2534.230
21:55,2543.100
22:00,2503.790
22:05,2478.790
22:10,2433.250
22:15,2403.830
22:20,2380.200
22:25,2368.500
22:30,2384.950
22:35,2342.420
22:40,2335.210
22:45,2292.050
22:50,2289.240
22:55,2268.230
23:00,2258.750
23:05,2235.150
23:10,2195.660
23:15,2172.900
23:20,2173.000
23:25,2156.440
23:30,2114.630
23:35,2097.490
23:40,2065.140
23:45,2061.440
23:50,2042.610
23:55,2025.120
