time,value
00:00,2001.070
00:05,1986.170
00:10,1968.900
00:15,1951.610
00:20,1929.510
00:25,1931.870
00:30,1936.150
00:35,1899.260
00:40,1874.540
00:45,1878.700
00:50,1873.270
00:55,1856.710
01:00,1850.890
01:05,1841.440
01:10,1824.390
01:15,1819.010
01:20,1808.970
01:25,1801.380
01:30,1791.340
01:35,1775.390
01:40,1776.890
01:45,1769.690
01:50,1769.780
01:55,1768.460
02:00,1763.740
02:05,1759.210
02:10,1749.100
02:15,1733.360
02:20,1734.190
02:25,1733.910
02:30,1729.970
02:35,1718.460
02:40,1718.160
02:45,1713.700
02:50,1713.530
02:55,1710.420
03:00,1700.990
03:05,1698.600
03:10,1699.630
03:15,1702.190
03:20,1699.780
03:25,1691.490
03:30,1690.940
03:35,1682.090
03:40,1686.490
03:45,1688.540
03:50,1686.870
03:55,1690.950
04:00,1695.870
04:05,1703.150
04:10,1700.770
04:15,1697.710
04:20,1697.410
04:25,1711.860
04:30,1717.420
04:35,1718.930
04:40,1732.920
04:45,1739.450
04:50,1755.270
04:55,1764.380
05:00,1779.340
05:05,1814.270
05:10,1809.060
05:15,1847.600
05:20,1863.160
05:25,1900.640
05:30,1914.700
05:35,1944.010
05:40,1974.930
05:45,2019.270
05:50,2048.390
05:55,2062.590
06:00,2087.260
06:05,2130.730
06:10,2166.020
06:15,2206.110
06:20,2247.760
06:25,2262.540
06:30,2314.430
06:35,2384.210
06:40,2426.740
06:45,2485.360
06:50,2522.030
06:55,2574.160
07:00,2627.670
07:05,2655.820
07:10,2722.140
07:15,2756.010
07:20,2805.570
07:25,2828.010
07:30,2891.260
07:35,2915.900
07:40,2958.850
07:45,2963.820
07:50,2982.410
07:55,3012.690
08:00,3027.020
08:05,3057.690
08:10,3065.730
08:15,3078.160
08:20,3054.390
08:25,3096.810
08:30,3132.080
08:35,3136.330
08:40,3156.270
08:45,3151.040
08:50,3158.280
08:55,3178.130
09:00,3152.410
09:05,3193.630
09:10,3240.390
09:15,3291.070
09:20,3319.140
09:25,3353.720
09:30,3379.690
09:35,3414.620
09:40,3451.020
09:45,3507.780
09:50,3489.680
09:55,3516.580
10:00,3516.380
10:05,3529.830
10:10,3517.720
10:15,3573.740
10:20,3561.170
10:25,3559.540
10:30,3572.500
10:35,3553.810
10:40,3548.790
10:45,3549.110
10:50,3496.140
10:55,3554.130
11:00,3510.520
11:05,3540.380
11:10,3536.530
11:15,3525.030
11:20,3522.940
11:25,3515.400
11:30,3519.280
11:35,3516.050
11:40,3494.500
11:45,3502.230
11:50,3524.370
11:55,3490.420
12:00,3466.910
12:05,3501.250
12:10,3458.250
12:15,3457.020
12:20,3439.800
12:25,3435.370
12:30,3462.490
12:35,3418.020
12:40,3439.980
12:45,3428.360
12:50,3411.950
12:55,3363.330
13:00,3332.280
13:05,3279.910
13:10,3112.690
13:15,3055.890
13:20,3067.780
13:25,3010.240
13:30,2988.690
13:35,3016.500
13:40,3079.520
13:45,3052.960
13:50,3030.160
13:55,3051.280
14:00,3051.690
14:05,3071.500
14:10,3049.810
14:15,3062.240
14:20,3054.290
14:25,3067.380
14:30,3041.320
14:35,3075.100
14:40,3045.570
14:45,3066.900
14:50,3026.170
14:55,3079.650
15:00,3052.470
15:05,3046.220
15:10,3048.780
15:15,3017.720
15:20,3052.760
15:25,3032.120
15:30,3027.860
15:35,3033.550
15:40,3030.920
15:45,3040.530
15:50,3001.630
15:55,3027.550
16:00,3028.080
16:05,3053.720
16:10,3038.890
16:15,3010.180
16:20,3048.800
16:25,3016.320
16:30,3051.900
16:35,3070.210
16:40,3055.480
16:45,3090.180
16:50,3086.850
16:55,3104.050
17:00,3076.460
17:05,3121.540
17:10,3143.970
17:15,3170.070
17:20,3196.740
17:25,3196.080
17:30,3229.700
17:35,3280.360
17:40,3298.370
17:45,3333.400
17:50,3364.450
17:55,3374.170
18:00,3399.200
18:05,3411.320
18:10,3385.970
18:15,3396.150
18:20,3409.280
18:25,3394.450
18:30,3394.660
18:35,3364.270
18:40,3353.660
18:45,3347.730
18:50,3371.920
18:55,3338.200
19:00,3301.990
19:05,3307.670
19:10,3259.770
19:15,3276.130
19:20,3244.670
19:25,3225.160
19:30,3201.630
19:35,3200.230
19:40,3173.730
19:45,3134.050
19:50,3113.600
19:55,3089.450
20:00,3031.240
20:05,3019.920
20:10,2990.400
20:15,2982.110
20:20,2942.120
20:25,2903.310
20:30,2885.190
20:35,2855.100
20:40,2813.930
20:45,2791.720
20:50,2797.320
20:55,2734.600
21:00,2676.000
21:05,2604.930
21:10,2583.340
21:15,2569.150
21:20,2597.650
21:25,2567.690
21:30,2562.370
21:35,2532.910
21:40,2528.900
21:45,2505.750
21:50,2489.020
21:55,2497.950
22:00,2482.160
22:05,2431.540
22:10,2437.560
22:15,2401.050
22:20,2369.490
22:25,2362.200
22:30,2338.000
22:35,2334.510
22:40,2317.930
22:45,2314.430
22:50,2270.250
22:55,2265.470
23:00,2240.880
23:05,2213.510
23:10,2169.340
23:15,2170.580
23:20,2138.930
23:25,2133.050
23:30,2113.230
23:35,2086.540
23:40,2071.290
23:45,2058.530
23:50,2036.410
23:55,2021.290
